OverallQual,TotalBsmtSF,GrLivArea,MSZoning,Utilities,Neighborhood,GarageType,HouseStyle,SalePrice
7,1080,2097,RL,AllPub,SawyerW,Attchd,2Story,228000
7,1340,1340,RL,AllPub,Gilbert,Attchd,1Story,181134
6,672,1400,RL,AllPub,Sawyer,Attchd,2Story,149500
6,1370,2624,RL,AllPub,Crawfor,Detchd,2Story,239000
5,756,1134,RL,AllPub,Edwards,Detchd,1.5Fin,126000
5,1056,1056,RL,AllPub,NAmes,Attchd,1Story,142000
7,1344,1344,RM,AllPub,Mitchel,Attchd,SFoyer,206300
6,1602,1602,RL,AllPub,NWAmes,Attchd,1Story,215000
5,988,988,RL,AllPub,Mitchel,Attchd,1Story,113000
8,1470,2630,RL,AllPub,NoRidge,Attchd,2Story,315000
6,1196,1196,RL,AllPub,NAmes,Attchd,1Story,139000
7,651,1389,RM,AllPub,OldTown,Detchd,2Story,135000
7,1518,1644,RL,AllPub,SawyerW,Attchd,SLvl,275000
4,907,907,RL,AllPub,NAmes,Detchd,1Story,109008
7,1208,1208,RL,AllPub,CollgCr,Attchd,1Story,195400
6,1392,1412,RL,AllPub,Timber,Attchd,1Story,175000
6,483,987,RM,AllPub,BrDale,Detchd,2Story,85400
6,901,1198,RM,AllPub,OldTown,NA,1.5Fin,79900
5,765,1365,RM,AllPub,BrDale,Detchd,2Story,122500
6,926,1604,RL,AllPub,Gilbert,Attchd,2Story,181000
4,630,630,RM,AllPub,MeadowV,NA,SFoyer,81000
7,799,1661,RL,AllPub,CollgCr,Attchd,2Story,212000
6,648,1118,RM,AllPub,OldTown,Detchd,1.5Fin,116000
6,884,904,RM,AllPub,BrkSide,Detchd,1.5Unf,119000
5,440,694,RL,AllPub,Crawfor,Detchd,1Story,90350
6,684,1196,RL,AllPub,Edwards,Detchd,1.5Fin,110000
10,3094,2402,RL,AllPub,NridgHt,Attchd,1Story,555000
4,1440,1440,RL,AllPub,Edwards,NA,1Story,118000
5,1078,1573,RM,AllPub,BrkSide,Detchd,1.5Fin,162900
7,1258,1258,RL,AllPub,Blmngtn,Attchd,1Story,172500
7,915,1908,RL,AllPub,CollgCr,Attchd,2Story,210000
6,1436,1689,RL,AllPub,Edwards,Attchd,1Story,127500
6,1517,1888,RL,AllPub,NAmes,Attchd,1Story,190000
7,930,1886,RL,AllPub,Gilbert,Attchd,2Story,199900
6,780,1376,RM,AllPub,IDOTRR,Detchd,1.5Fin,119500
3,649,1183,RM,AllPub,OldTown,Detchd,1.5Fin,120000
6,813,813,RM,AllPub,OldTown,Detchd,1Story,110000
7,1533,1533,RL,AllPub,ClearCr,Attchd,1Story,280000
6,872,1756,RL,AllPub,Timber,Attchd,2Story,204000
8,768,1590,FV,AllPub,Somerst,Attchd,2Story,210000
5,1728,1728,RL,AllPub,Mitchel,Detchd,1Story,188000
7,1242,1242,RL,AllPub,NWAmes,Attchd,1Story,175500
5,624,1344,RM,AllPub,OldTown,Detchd,2Story,98000
4,1364,1663,RL,AllPub,ClearCr,Attchd,1Story,256000
8,588,1666,RM,AllPub,OldTown,Detchd,2Story,161000
5,709,1203,RL,AllPub,BrkSide,Detchd,1.5Fin,110000
8,832,1935,FV,AllPub,Somerst,BuiltIn,2Story,263435
7,560,1135,RL,AllPub,SWISU,Detchd,2Story,155000
5,864,864,RL,AllPub,Sawyer,Detchd,1Story,62383
6,715,1660,RL,AllPub,Crawfor,Detchd,2Story,188700
5,1040,1040,RL,AllPub,CollgCr,NA,1Story,124000
7,1375,1414,RM,AllPub,Blmngtn,Attchd,1Story,178740
7,1277,1277,RL,AllPub,NAmes,Attchd,1Story,167000
5,728,1644,RL,AllPub,NAmes,Attchd,2Story,146500
8,1626,1634,RL,AllPub,NridgHt,Attchd,1Story,250000
6,832,1710,RL,AllPub,SawyerW,Attchd,2Story,187000
8,1488,1502,RL,AllPub,StoneBr,Attchd,1Story,212000
7,808,1969,RL,AllPub,NWAmes,Attchd,2Story,190000
6,547,1072,RM,AllPub,Edwards,Basment,SLvl,148000
8,1976,1976,RL,AllPub,NridgHt,Attchd,1Story,440000
8,1494,1652,RL,AllPub,StoneBr,Attchd,1Story,251000
5,970,970,RL,AllPub,Sawyer,Detchd,1Story,132500
6,1478,1493,RL,AllPub,CollgCr,Attchd,1Story,208900
9,2153,2643,RL,AllPub,NridgHt,BuiltIn,2Story,380000
8,1705,1718,RL,AllPub,CollgCr,Attchd,1Story,297000
4,907,1131,RM,AllPub,OldTown,Detchd,1Story,89471
9,1833,1850,RL,AllPub,NridgHt,Attchd,1Story,326000
9,1792,1792,RL,AllPub,NridgHt,Attchd,1Story,374000
7,910,1826,RM,AllPub,OldTown,Attchd,2Story,155000
6,1216,1216,RM,AllPub,Mitchel,Attchd,1Story,164000
5,999,999,RL,AllPub,Sawyer,Detchd,1Story,132500
5,1113,1113,RL,AllPub,NAmes,Attchd,1Story,147000
5,1073,1073,RL,AllPub,NAmes,Attchd,1Story,156000
5,1484,1484,RL,AllPub,NWAmes,Attchd,1Story,175000
5,954,2414,RL,AllPub,OldTown,Attchd,1.5Fin,160000
4,630,630,RM,AllPub,MeadowV,Attchd,SFoyer,86000
5,264,1304,RM,AllPub,MeadowV,BuiltIn,2Story,115000
6,806,1578,RL,AllPub,NAmes,Attchd,1.5Fin,133000
6,728,1456,RL,AllPub,Gilbert,Attchd,2Story,172785
5,1269,1269,RL,AllPub,NAmes,Detchd,1Story,155000
5,190,886,RM,AllPub,OldTown,Attchd,1Story,91300
4,720,720,C (all),AllPub,IDOTRR,NA,1Story,34900
8,3200,3228,RL,AllPub,NoRidge,Attchd,1Story,430000
7,1026,1820,RL,AllPub,BrkSide,Detchd,1.5Fin,184000
5,864,899,RL,AllPub,Sawyer,Attchd,1Story,130000
5,912,912,RL,AllPub,NAmes,Attchd,1Story,120000
6,672,1218,RM,AllPub,BrDale,Detchd,2Story,113000
7,866,1768,FV,AllPub,Somerst,Attchd,2Story,226700
5,1214,1214,RL,AllPub,Edwards,Detchd,1Story,140000
7,1501,1801,RL,AllPub,Crawfor,Attchd,1Story,289000
6,855,1322,RL,AllPub,NPkVill,Attchd,2Story,147000
5,960,1960,RM,AllPub,OldTown,Detchd,2Story,124500
8,777,1911,RL,AllPub,SawyerW,Attchd,2Story,215000
6,1218,1218,FV,AllPub,Somerst,Attchd,1Story,208300
7,689,1378,RM,AllPub,OldTown,Detchd,2Story,161000
5,1041,1041,RL,AllPub,NAmes,Attchd,1Story,124500
5,1008,1363,RL,AllPub,NAmes,CarPort,1Story,164900
7,1368,1368,RL,AllPub,NridgHt,Attchd,1Story,202665
5,864,864,RL,AllPub,NAmes,Detchd,1Story,129900
6,1084,1080,RL,AllPub,Mitchel,Attchd,1Story,134000
5,768,789,RL,AllPub,Crawfor,Detchd,1.5Unf,96500
10,2006,2020,RL,AllPub,NridgHt,Attchd,1Story,402861
6,689,2119,RL,AllPub,NWAmes,Attchd,SLvl,158000
7,1264,2344,RL,AllPub,NoRidge,Attchd,2Story,265000
6,794,1796,RL,AllPub,CollgCr,Attchd,2Story,211000
7,1276,2080,RL,AllPub,Crawfor,Detchd,2Story,234000
4,0,1294,RL,AllPub,OldTown,NA,2Story,106250
6,1244,1244,RL,AllPub,NAmes,Attchd,1Story,150000
6,1004,1664,RM,AllPub,BrkSide,Detchd,1.5Fin,159000
10,3138,4676,RL,AllPub,Edwards,BuiltIn,2Story,184750
7,1379,2398,RL,AllPub,NoRidge,Attchd,2Story,315750
7,1257,1266,FV,AllPub,Somerst,Attchd,1Story,176000
5,928,928,RL,AllPub,NAmes,Attchd,1Story,132000
9,1452,2713,RL,AllPub,NridgHt,Attchd,2Story,446261
4,528,605,RL,AllPub,Edwards,NA,1Story,86000
6,2035,2515,RL,AllPub,Crawfor,Attchd,1Story,200624
6,1461,1509,RL,AllPub,Timber,Attchd,SLvl,175000
6,611,1362,RM,AllPub,BrkSide,Detchd,2Story,128000
5,0,827,RL,AllPub,NAmes,Detchd,1Story,107500
1,0,334,RL,AllPub,BrkSide,NA,1Story,39300
8,707,1414,RL,AllPub,Gilbert,Attchd,2Story,178000
5,1117,1347,RL,AllPub,Edwards,NA,2Story,107500
7,880,1724,RL,AllPub,CollgCr,Attchd,2Story,188000
4,864,864,RL,AllPub,NAmes,Detchd,1Story,111250
5,1051,1159,RL,AllPub,Sawyer,Attchd,1Story,158000
8,1581,1601,RL,AllPub,CollgCr,Attchd,1Story,272000
9,1838,1838,RL,AllPub,Timber,Attchd,1Story,315000
8,969,2285,RL,AllPub,NoRidge,BuiltIn,2Story,248000
7,1650,1680,RL,AllPub,NWAmes,Attchd,1Story,213250
7,723,767,RH,AllPub,NAmes,Attchd,SFoyer,133000
7,654,1496,RL,AllPub,Gilbert,Attchd,2Story,179665
7,1204,2183,RL,AllPub,NWAmes,Attchd,1.5Fin,229000
6,1065,1635,RL,AllPub,BrkSide,Detchd,1.5Fin,210000
5,768,768,RL,AllPub,Mitchel,Detchd,SFoyer,129500
5,825,825,RM,AllPub,OldTown,Detchd,1Story,125000
7,912,2094,FV,AllPub,Somerst,BuiltIn,2Story,263000
6,1069,1069,RL,AllPub,NPkVill,Attchd,1Story,140000
5,928,928,RM,AllPub,OldTown,Attchd,1Story,112500
8,1709,1717,RL,AllPub,NridgHt,Attchd,1Story,255500
4,0,1126,RL,AllPub,Edwards,Detchd,1Story,108000
7,998,2046,RL,AllPub,NridgHt,BuiltIn,2Story,284000
5,993,1048,RM,AllPub,BrkSide,Detchd,1.5Unf,113000
5,1092,1092,RL,AllPub,NAmes,Attchd,1Story,141000
4,637,1336,C (all),AllPub,IDOTRR,CarPort,1.5Fin,108000
7,729,1446,RL,AllPub,Gilbert,Attchd,2Story,175000
7,1374,1557,RL,AllPub,Blmngtn,Attchd,1Story,234000
5,1392,1392,RL,AllPub,Sawyer,Detchd,1Story,121500
5,1389,1389,RL,AllPub,Mitchel,Attchd,1Story,170000
5,996,996,RL,AllPub,Edwards,NA,1Story,108000
6,1163,1674,RL,AllPub,Edwards,Detchd,1.5Fin,185000
7,1095,2295,RL,AllPub,NoRidge,Attchd,2Story,268000
6,806,1647,RL,AllPub,SWISU,Detchd,2Story,128000
9,1122,2504,RL,AllPub,StoneBr,BuiltIn,2Story,325000
7,1517,1535,RL,AllPub,NridgHt,Attchd,1Story,214000
8,1496,2132,RL,AllPub,SawyerW,BuiltIn,1.5Fin,316600
5,943,943,RL,AllPub,NAmes,Detchd,SFoyer,135960
5,1728,1728,RL,AllPub,NAmes,Detchd,1Story,142600
6,864,864,RL,AllPub,NAmes,Attchd,1Story,120000
7,846,1692,RL,AllPub,Timber,Attchd,2Story,224500
7,384,1430,RL,AllPub,Gilbert,BuiltIn,SLvl,170000
5,372,1109,RL,AllPub,NAmes,BuiltIn,SLvl,139000
5,832,1216,RL,AllPub,NAmes,Detchd,1.5Fin,118500
7,861,1477,RL,AllPub,SWISU,Detchd,1.5Fin,145000
5,1164,1320,RL,AllPub,Sawyer,Attchd,SLvl,164500
7,689,1392,FV,AllPub,Somerst,Detchd,2Story,146000
5,1050,1795,RM,AllPub,OldTown,Attchd,1.5Fin,131500
6,1144,1429,RL,AllPub,NAmes,Attchd,1Story,181900
8,2042,2042,RL,AllPub,NridgHt,Attchd,1Story,253293
6,816,816,RL,AllPub,Edwards,NA,SFoyer,118500
10,1237,2775,RM,AllPub,OldTown,Detchd,2.5Unf,325000
4,884,1573,RM,AllPub,BrkSide,Detchd,1.5Fin,133000
8,1868,2028,RL,AllPub,Timber,Attchd,1Story,369900
6,816,838,RL,AllPub,BrkSide,Detchd,1Story,130000
5,840,860,RL,AllPub,Sawyer,Detchd,SFoyer,137000
5,1437,1473,RL,AllPub,ClearCr,Attchd,1Story,143000
5,742,935,RM,AllPub,BrkSide,Detchd,1Story,79500
7,770,1582,RL,AllPub,CollgCr,Attchd,2Story,185900
10,1722,2296,RL,AllPub,NridgHt,BuiltIn,2Story,451950
5,816,816,RL,AllPub,Mitchel,Detchd,1Story,138000
6,848,848,RM,AllPub,CollgCr,Attchd,1Story,140000
5,924,924,RL,AllPub,CollgCr,Detchd,1Story,110000
8,1814,1826,RL,AllPub,StoneBr,Attchd,1Story,319000
6,684,1368,RM,AllPub,OldTown,Detchd,2Story,114504
7,1258,1402,RL,AllPub,Blmngtn,Attchd,1Story,194201
5,1430,1647,RL,AllPub,Crawfor,Attchd,1Story,217500
6,716,1556,RM,AllPub,Blueste,Attchd,2Story,151000
8,1058,1904,RL,AllPub,NridgHt,BuiltIn,2Story,275000
6,780,1375,RM,AllPub,IDOTRR,Detchd,1.5Fin,141000
8,908,1915,RL,AllPub,SawyerW,Attchd,2Story,220000
7,600,1200,FV,AllPub,Somerst,Detchd,2Story,151000
7,1494,1494,RL,AllPub,CollgCr,Attchd,1Story,221000
7,768,1986,RL,AllPub,NAmes,Attchd,2Story,205000
5,1040,1040,RL,AllPub,CollgCr,Detchd,1Story,152000
5,896,2008,RL,AllPub,Edwards,Attchd,2Story,225000
8,965,3194,RL,AllPub,Crawfor,Basment,2Story,359100
4,1029,1029,RL,AllPub,Sawyer,Attchd,1Story,118500
9,1440,2153,RL,AllPub,CollgCr,Attchd,2Story,313000
6,1032,1032,RL,AllPub,NWAmes,Attchd,SLvl,148000
8,1299,1872,RL,AllPub,CollgCr,BuiltIn,2Story,261500
5,1120,1120,RL,AllPub,Mitchel,NA,1Story,147000
4,630,630,RM,AllPub,MeadowV,NA,SFoyer,75500
6,936,1054,RL,AllPub,NAmes,Attchd,SFoyer,137500
6,783,1509,RL,AllPub,Gilbert,Attchd,2Story,183200
6,832,832,RL,AllPub,NAmes,Detchd,1.5Unf,105500
9,1822,1828,RL,AllPub,NridgHt,Attchd,1Story,314813
8,1482,2262,RL,AllPub,Timber,Attchd,2Story,305000
3,864,864,RL,AllPub,Edwards,NA,1Story,67000
6,1522,2614,RL,AllPub,NWAmes,Attchd,2Story,240000
5,980,980,RL,AllPub,Sawyer,Detchd,1Story,135000
6,756,1512,FV,AllPub,Somerst,Detchd,2Story,168500
6,732,1790,RL,AllPub,NWAmes,Attchd,2Story,165150
6,1116,1116,RL,AllPub,NAmes,Attchd,1Story,160000
5,978,1422,RL,AllPub,NAmes,Attchd,1Story,139900
6,1156,1520,RL,AllPub,NAmes,Basment,SLvl,153000
5,1040,2080,RL,AllPub,NAmes,Attchd,2Story,135000
6,1248,1350,RL,AllPub,NAmes,Attchd,SLvl,168500
5,636,1750,RM,AllPub,OldTown,Detchd,2Story,124000
8,1554,1554,RL,AllPub,NridgHt,Attchd,1Story,209500
7,1386,1411,RL,AllPub,NWAmes,Attchd,1Story,82500
5,1056,1056,RL,AllPub,NAmes,Attchd,1Story,139400
6,1056,1056,RL,AllPub,OldTown,Detchd,SFoyer,144000
6,1440,3395,RH,AllPub,SWISU,NA,2.5Fin,200000
2,264,800,RM,AllPub,BrkSide,NA,1Story,60000
5,811,1387,RM,AllPub,OldTown,BuiltIn,1.5Fin,93000
5,796,796,RL,AllPub,Edwards,NA,1Story,85000
8,1520,1567,RL,AllPub,Blmngtn,Attchd,1Story,264561
8,1518,1518,RL,AllPub,NridgHt,Attchd,1Story,274000
7,1057,1929,FV,AllPub,Somerst,Attchd,2Story,226000
8,1952,2704,RL,AllPub,NAmes,Attchd,SLvl,345000
5,780,1620,RL,AllPub,NWAmes,Attchd,2Story,152000
9,1766,1766,FV,AllPub,Somerst,Attchd,1Story,370878
6,981,981,RL,AllPub,NAmes,Detchd,1Story,143250
5,0,1048,RL,AllPub,NAmes,Detchd,1Story,98300
6,1094,1094,RL,AllPub,Edwards,Attchd,1Story,155000
6,756,1839,RL,AllPub,NAmes,Attchd,2Story,155000
4,630,630,RM,AllPub,MeadowV,NA,SFoyer,84500
7,813,1665,FV,AllPub,Somerst,Attchd,2Story,205950
4,755,1510,RL,AllPub,Edwards,Detchd,2Story,108000
7,880,1716,RL,AllPub,CollgCr,Attchd,2Story,191000
6,756,1469,RM,AllPub,IDOTRR,Detchd,1.5Fin,135000
8,2109,2113,RL,AllPub,NoRidge,Attchd,1Story,350000
6,525,1092,RM,AllPub,BrDale,Detchd,2Story,88000
5,1053,1053,RL,AllPub,NAmes,Attchd,1Story,145500
7,776,1502,RL,AllPub,Crawfor,Attchd,2Story,149000
6,912,1458,RL,AllPub,NAmes,Attchd,1.5Fin,97500
5,1486,1486,RL,AllPub,Edwards,Detchd,1Story,167000
7,793,1935,RL,AllPub,NWAmes,Attchd,2Story,197900
8,1629,2448,RL,AllPub,NoRidge,Attchd,2Story,402000
6,1392,1392,RL,AllPub,NAmes,Attchd,1Story,110000
4,1138,1181,RL,AllPub,Edwards,Detchd,SFoyer,137500
8,2077,2097,RL,AllPub,Somerst,Attchd,1Story,423000
8,1406,1936,RL,AllPub,Gilbert,Attchd,2Story,230500
6,1021,2380,RL,AllPub,NAmes,CarPort,2Story,129000
6,1408,1679,RL,AllPub,SawyerW,Attchd,1Story,193500
5,1188,1437,RL,AllPub,Sawyer,Detchd,1Story,168000
4,700,1180,RL,AllPub,Crawfor,Detchd,1Story,137500
6,738,1476,RL,AllPub,CollgCr,Attchd,2Story,173500
6,672,1369,RH,AllPub,Edwards,Detchd,2Story,103600
6,1208,1208,RL,AllPub,Veenker,Attchd,1Story,165000
6,1477,1839,RL,AllPub,Crawfor,Attchd,1Story,257500
6,1136,1136,RL,AllPub,NAmes,Attchd,1Story,140000
6,855,1441,RL,AllPub,NPkVill,Attchd,2Story,148500
4,1095,1774,RM,AllPub,OldTown,2Types,2Story,87000
5,768,792,RL,AllPub,OldTown,Detchd,1Story,109500
8,2046,2046,RL,AllPub,StoneBr,Attchd,1Story,372500
5,988,988,RL,AllPub,Sawyer,Detchd,1Story,128500
6,923,923,RL,AllPub,SawyerW,Attchd,1Story,143000
5,793,1520,RH,AllPub,SWISU,Detchd,1.5Fin,159434
6,1291,1291,RL,AllPub,ClearCr,Attchd,1Story,173000
9,1626,1668,RL,AllPub,CollgCr,Attchd,1Story,285000
7,1195,1839,RL,AllPub,NoRidge,Attchd,2Story,221000
7,1190,2090,RL,AllPub,StoneBr,Attchd,2Story,207500
7,874,1761,FV,AllPub,Somerst,Attchd,2Story,227875
7,551,1102,FV,AllPub,Somerst,Detchd,2Story,148800
8,1419,1419,RL,AllPub,StoneBr,Attchd,1Story,392000
6,1362,1362,RL,AllPub,NridgHt,Attchd,1Story,194700
6,848,848,RM,AllPub,CollgCr,Attchd,1Story,141000
10,2444,4316,RL,AllPub,NoRidge,Attchd,2Story,755000
7,1210,2519,RL,AllPub,Timber,Attchd,2Story,335000
5,1073,1073,RL,AllPub,OldTown,Detchd,1Story,108480
5,927,1539,RM,AllPub,BrkSide,Detchd,1.5Fin,141500
6,1112,1137,RL,AllPub,Timber,Attchd,1Story,176000
5,616,616,RM,AllPub,BrkSide,Detchd,1Story,89000
5,980,1148,RL,AllPub,Edwards,Detchd,1Story,123500
5,894,894,RL,AllPub,Sawyer,Detchd,1Story,138500
7,1391,1391,FV,AllPub,Somerst,Attchd,1Story,196000
8,1800,1800,RL,AllPub,Timber,Attchd,1Story,312500
7,1164,1164,RL,AllPub,NWAmes,Attchd,1Story,140000
8,1234,2576,RL,AllPub,StoneBr,BuiltIn,2Story,361919
5,360,1812,RM,AllPub,OldTown,Detchd,2Story,140000
7,1473,1484,RL,AllPub,CollgCr,Attchd,1Story,213000
4,0,1092,RM,AllPub,IDOTRR,NA,2Story,55000
7,1643,1824,RL,AllPub,ClearCr,Attchd,1Story,302000
8,1324,1324,RL,AllPub,NridgHt,Attchd,1Story,254000
7,728,1456,RL,AllPub,Gilbert,Attchd,2Story,179540
5,876,904,RL,AllPub,Sawyer,Attchd,1Story,109900
3,270,729,RL,AllPub,BrkSide,NA,1Story,52000
4,859,1178,C (all),AllPub,IDOTRR,Detchd,1.5Fin,102776
8,1228,1228,RL,AllPub,StoneBr,Attchd,1Story,189000
4,960,960,RL,AllPub,BrkSide,Detchd,1Story,129000
6,725,1479,RL,AllPub,Sawyer,Attchd,2Story,130500
6,1064,1350,RL,AllPub,NWAmes,Attchd,1Story,165000
7,718,2554,RM,AllPub,OldTown,Detchd,2Story,159500
5,1176,1178,RL,AllPub,NWAmes,Attchd,1Story,157000
7,1311,2418,RL,AllPub,NoRidge,Attchd,2Story,341000
5,971,971,RL,AllPub,CollgCr,Attchd,1Story,128500
8,1742,1742,RL,AllPub,StoneBr,Attchd,1Story,275000
6,848,848,RM,AllPub,CollgCr,Attchd,1Story,143000
4,864,864,RL,AllPub,NAmes,Detchd,1Story,124500
4,941,1470,RL,AllPub,Edwards,Detchd,1.5Fin,135000
9,1698,1698,RL,AllPub,Edwards,Attchd,1Story,320000
4,864,864,RL,AllPub,NAmes,Detchd,1Story,120500
6,880,1680,RL,AllPub,Crawfor,Attchd,1Story,222000
7,1232,1232,RL,AllPub,CollgCr,Attchd,1Story,194500
5,1584,1776,RL,AllPub,NAmes,Detchd,1Story,110000
4,780,1208,RM,AllPub,IDOTRR,Detchd,1.5Fin,103000
8,1595,1616,RL,AllPub,StoneBr,Attchd,1Story,236500
7,868,1146,RL,AllPub,Timber,Attchd,SLvl,187500
7,1153,2031,RL,AllPub,CollgCr,Attchd,2Story,222500
5,864,1144,RL,AllPub,Sawyer,Attchd,1Story,131400
5,948,948,RL,AllPub,Sawyer,Attchd,1Story,108000
7,880,1768,RM,AllPub,OldTown,Detchd,2.5Unf,163000
3,0,1040,RL,AllPub,NAmes,Detchd,1Story,93500
8,893,1801,RL,AllPub,Gilbert,Attchd,2Story,239900
5,1200,1200,RL,AllPub,Edwards,NA,1Story,179000
7,864,1728,RL,AllPub,CollgCr,Attchd,2Story,190000
5,264,1432,RM,AllPub,OldTown,Detchd,2Story,132000
6,912,912,RL,AllPub,Sawyer,Detchd,1Story,142000
7,1349,1349,RL,AllPub,SawyerW,Attchd,1Story,179000
5,520,1464,RL,AllPub,Sawyer,Attchd,SLvl,175000
8,1337,1337,RL,AllPub,StoneBr,Attchd,1Story,180000
8,1142,2715,RL,AllPub,NWAmes,BuiltIn,2Story,299800
7,952,2256,RL,AllPub,Gilbert,BuiltIn,2Story,236000
7,1240,2640,RM,AllPub,OldTown,Detchd,2Story,265979
7,1720,1720,RL,AllPub,NoRidge,Attchd,1Story,260400
4,0,1529,RL,AllPub,Edwards,Detchd,1.5Fin,98000
4,576,1140,RM,AllPub,OldTown,NA,1.5Fin,96500
7,660,1320,RL,AllPub,Gilbert,Attchd,2Story,162000
6,1479,1494,RL,AllPub,CollgCr,Attchd,1Story,217000
8,1030,2098,RL,AllPub,NridgHt,Attchd,2Story,275500
6,1026,1026,RL,AllPub,NAmes,Detchd,1Story,156000
6,729,1471,FV,AllPub,Somerst,Detchd,2Story,172500
8,866,1768,RL,AllPub,CollgCr,Attchd,2Story,212000
6,672,1386,RL,AllPub,Sawyer,Attchd,2Story,158900
7,744,1501,FV,AllPub,Somerst,Detchd,2Story,179400
8,1318,2531,RL,AllPub,NoRidge,Attchd,2Story,290000
6,864,864,RL,AllPub,NAmes,Detchd,1Story,127500
5,1145,1301,RM,AllPub,BrkSide,Detchd,1Story,100000
7,756,1547,FV,AllPub,Somerst,Attchd,2Story,215200
8,1252,2365,RL,AllPub,NoRidge,Attchd,2Story,337000
8,1494,1494,RL,AllPub,Veenker,Attchd,1Story,270000
9,1498,1506,RL,AllPub,Somerst,Attchd,1Story,264132
7,980,1714,RL,AllPub,NWAmes,Attchd,2Story,196500
6,983,1750,RL,AllPub,Mitchel,Attchd,1.5Fin,160000
7,1860,1836,RL,AllPub,CollgCr,Attchd,1Story,216837
8,1650,3279,RL,AllPub,StoneBr,BuiltIn,2Story,538000
5,858,858,RL,AllPub,Sawyer,Detchd,SFoyer,134900
4,836,1220,RL,AllPub,Edwards,Detchd,1Story,102000
6,1029,1117,RL,AllPub,Edwards,Detchd,SLvl,107000
5,912,912,RL,AllPub,NAmes,Attchd,1Story,114500
8,1935,1973,RL,AllPub,NridgHt,Attchd,1Story,395000
6,1204,1204,RM,AllPub,Mitchel,Attchd,1Story,162000
7,1614,1614,RL,AllPub,CollgCr,Attchd,1Story,221500
5,864,894,RL,AllPub,Sawyer,Attchd,1Story,142500
5,0,2020,RH,AllPub,SawyerW,Detchd,1Story,144000
6,975,1004,RL,AllPub,Mitchel,Attchd,SFoyer,135000
7,1237,1253,RL,AllPub,Gilbert,Attchd,1Story,176000
6,761,1603,RL,AllPub,SawyerW,Attchd,2Story,175900
7,1413,1430,RL,AllPub,CollgCr,Attchd,1Story,187100
5,1097,1110,RL,AllPub,Mitchel,Attchd,SFoyer,165500
6,742,1484,RM,AllPub,OldTown,NA,2.5Unf,128000
6,1372,1342,RL,AllPub,NWAmes,Attchd,1Story,161500
5,686,1652,RM,AllPub,OldTown,Detchd,1.5Fin,139000
7,956,2084,RL,AllPub,SawyerW,BuiltIn,2Story,233000
4,901,901,RM,AllPub,OldTown,Detchd,1Story,107900
6,832,2087,RL,AllPub,ClearCr,Attchd,2Story,187500
7,1145,1145,RL,AllPub,Blmngtn,Attchd,1Story,160200
6,1029,1062,RL,AllPub,Mitchel,Attchd,SLvl,146800
7,1117,2013,RL,AllPub,NoRidge,Attchd,2Story,269790
8,1496,1496,RL,AllPub,Somerst,Attchd,1Story,225000
7,712,1895,RL,AllPub,Gilbert,Attchd,2Story,194500
6,650,1564,RL,AllPub,SawyerW,Attchd,2Story,171000
6,660,1285,RL,AllPub,Sawyer,Attchd,1Story,143500
5,773,773,RL,AllPub,NAmes,Attchd,1Story,110000
9,1926,3140,RL,AllPub,NridgHt,BuiltIn,2Story,485000
5,731,1768,RL,AllPub,SWISU,Detchd,1.5Fin,175000
6,616,1688,RL,AllPub,ClearCr,Attchd,2Story,200000
4,1196,1196,RM,AllPub,IDOTRR,Detchd,1Story,109900
7,728,1456,RL,AllPub,CollgCr,Attchd,2Story,189000
9,1734,2822,RL,AllPub,NridgHt,BuiltIn,2Story,582933
5,936,1128,RL,AllPub,NAmes,Attchd,1Story,118000
7,1417,1428,RL,AllPub,Somerst,Attchd,1Story,227680
5,980,980,RL,AllPub,NAmes,Attchd,SLvl,135500
5,1324,1576,RL,AllPub,BrkSide,Attchd,2Story,223500
5,1024,1086,RL,AllPub,NAmes,Attchd,SLvl,159950
5,849,2138,RM,AllPub,OldTown,Detchd,2.5Unf,106000
6,1040,1309,RL,AllPub,NWAmes,Attchd,1Story,181000
6,848,848,RM,AllPub,CollgCr,Attchd,1Story,144500
5,540,1044,C (all),AllPub,IDOTRR,Basment,1Story,55993
6,1442,1442,RL,AllPub,NAmes,Attchd,1Story,157900
5,686,1250,RL,AllPub,Edwards,Detchd,1.5Fin,116000
7,1649,1661,RL,AllPub,CollgCr,Attchd,1Story,224900
5,1008,1008,RL,AllPub,NAmes,Attchd,1Story,137000
8,1568,1689,RL,AllPub,Mitchel,Attchd,1Story,271000
6,1010,1052,RL,AllPub,ClearCr,Attchd,SLvl,155000
7,1358,1358,RL,AllPub,NridgHt,Attchd,1Story,224000
7,798,1640,RL,AllPub,CollgCr,Attchd,2Story,183000
4,936,936,RM,AllPub,OldTown,Detchd,1Story,93000
7,847,1733,RL,AllPub,Gilbert,BuiltIn,2Story,225000
6,778,1489,RL,AllPub,SWISU,Detchd,1.5Fin,139500
8,1489,1489,FV,AllPub,Somerst,Attchd,1Story,232600
10,2078,2084,RL,AllPub,NridgHt,Attchd,1Story,385000
5,784,784,RM,AllPub,BrkSide,NA,1.5Unf,109500
7,1454,1434,RL,AllPub,SawyerW,Attchd,1Story,189000
5,1013,2126,RL,AllPub,ClearCr,Attchd,2Story,185000
7,600,1223,FV,AllPub,Somerst,Detchd,2Story,147400
6,1392,1392,RL,AllPub,NAmes,Attchd,1Story,166000
